prognosis,abnormal_color,dental_impaction,"red_or_swollen_gums",bad_breath,damage_to_dental_fillings_and_restorations,decreased_tooth_count,pain_when_taps_the_tooth,liquid_filled_pockets_in_or_around_your_mouth,swelling,"one_or_more_bony_growths_(bumps)_in_the_center_of_your_hard_palate",not_being_able_to_eat_normally,temperature_rise_to_high_values(38 and above),foul_tastes,smooth(tooth),a_burning_or_scalding_feeling(tooth) ,decreased_saliva,lower_lip_numbness,swollen_or_puffy_gums,general_irritability_in_tooth,pain_or_discomfort_with_hot_and_cold_temperatures_in_tooth,loss_of_the_surface_of_the_tooth,tooth_pain,delayed_eruption_in_tooth,mild_temperature,tender_or_bleeding_gums,red_or_swollen_gums,tooth_discoloration,abnormal_tooth_enamel,displacement_or_loosening_of_teeth,food_getting_stuck_around_the_bony_growths,swelling_and_pain_in_the_gums_upperor_lower_jaw,swelling_and_inflammation_of_the_gums_in_the_wound_area,"decreased_ability_to_open_the_mouth",white_patches_on_the_inner_cheeks_tongue_ roof_of_the_mouth,red_spots_on_the_tongue_which may_be_light_or_dark_in_color,glossy_appearance_with_a_red_or_pink_background,a_feeling_of_dry_mouth_with_increased_thirst,lumps_or_white_red_or_dark_patches_in_your_mouth,pain_while_eating,pain_at_the_fracture_site_and_subjective_malocclusion,dusky_red_or_dark_red_gums.,a_small_upper_jaw_ with_or_without_a_large_lower_jaw,abnormal_alignment_of_teeth,clicking_ popping_ or_grating_sounds_in_the_jaw_joint ,sleep_disturbances,"Severe_constant_throbbing_toothache ",leading_to_a_smooth,worn-down_teeth,ectopic_eruption,flushed_cheek,Jaw_pain,sore_gums,curving_of_the_fifth_digit,sensitivity_sweets ,infectionin_tooth,speech_difficulties,a_change_in_the_natural_shape_of_the_jaws_and_teeth,dry_mouth,loss_of_taste,ear_pain_when_swallowing,discoloration_of_one_or_more_salivary_glands,abnormal_appearance_of_the_face,rash_on_your_face,swelling_around_the_jaw,painful_chewing,enlarged_lower_jaw,difficulty_swallowing_and_chewing,cotton-like_feeling_in_the_mouth,taste_changes_in_your_mouth,persistent_changes_in_the_tissues_of_your_mouth,"swelling_in_your_cheek_and_neck_region",mouth_opening/closing_aggravate_pain,gums_that_bleed_easily_when_you_brush_or_floss,a_small_lower_jaw_with_lower_teeth_that_are_significantly_behind_the_upper ,difficulty_or_discomfort_when_biting ,difficulty_opening_your_mouth_wide,facial_flushing,pain_or_discomfort_with_the_pressure_of_chewing_or_biting,sensitive_to_hot_or_cold_or_sweet_foods_and_drinks,formation_of_follicular_cysts,rubbing_their_ear,loose_teeth,loss_of_tooth_structure,decay_and_toot_ loss,absence_or_damage_of_a_blood_clot,fever,cracking_and_redness_at_the_corners_of_the_mouth,sore throat,receding_gums,speech_difficulties,headaches,swelling_in_your_face,spacing_anomalies,dribbling_more_than_usual,an_unpleasant_taste_in_your_mouth,changes_in_tooth_shape,loss_of_appetite,redness_over_the_side_of_the_face ,mild_swelling_of_the_tongue,tender_gums,mouth_breathing ,earaches,difficulty_opening_your_mouth,feeling_itchy_or_burning_in_the_tongue,inability_to_bite_into_food_correctly ,a_tired_feeling_in_your_face.,loss_of_appetite,Pain_in_the_neck_or_shoulders
Disorders of tooth ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supernumerary teeth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teething syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impacted wisdom teeth,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Periodontal Disease,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excessive attrition of teeth,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ankylosis of teeth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulpitis ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cysts of oral region,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Developmental cysts of oral region,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
