prognosis,headaches,dizziness,extreme_fatigue,shortness_of_breath,nausea,vomiting,blurred_vision,excessive_thirst_and_hunger,frequent_urination,dry_mouth,dry_eyes,erectile_dysfunction,swelling_of_the_limbs,chest_pain_or_tightness,excessive_sweating,rapid_heartbeat,swelling_of_the_limbs,pain_in_the_lower_back,pain_while_urinating,itching,yellowing_of_the_skin,pain_in_the_abdomen,pain_in_back,internal_bleeding,_unexplained_weight_loss,pain_in_a_specific_area_of_the_body,blood_in_urine_or_stool,fever,chronic_cough,difficulty_breathing,increased_lung_secretions,diarrhea_or_constipation,feeling_excessively_full,heartburn,bloating_and_gas,swelling_and_pain_in_the_joints,difficulty_in_movement,psychological_disorders,skin_rash,pain_in_the_joints_and_muscles,red_and_scaly_patches_on_the_skin,itching_and_redness_in_the_affected_areas,dryness_and_cracking_of_the_skin,swelling_and_redness_of_the_joints,chronic_diarrhea,cramping,constipation,diarrhea,weight_loss,continuous_bleeding_from_the_rectum,swelling_in_the_area_around_the_appendix,severe_headache_that_affects_one_half_of_the_head,sensitivity_to_light_and_sound_and_smells,pain_in_the_affected_area,swelling_and_redness_in_the_affected_area.,body_aches,sneezing,coughing,nasal_congestion,yellowing_of_the_eyes_and_skin,chills,confusion,severe_coughing_fits,high-pitched_whooping_sound_when_inhaling,exhaustion,cough_with_blood,night_sweats,indigestion,inflammation,heart_palpitations,difficulty_urinating,weak_urine_stream,frequent_urination,increased_appetite,anxiety,weight_gain,cold_intolerance,dry_skin,depression,high_blood_pressure,_joint_pain,muscle_weakness,easy_or_excessive_bruising,bleeding_gums,nosebleeds,weakness,pale_skin,sore_throat,difficulty_swallowing,swollen_tonsils,enlarged_lymph_nodes in_the_neck,eedness_of_the_gums,swelling_of_the_gums,bleeding_of_the_gums,excessive_worry,excessive_fear,nervousness,restlessness,difficulty_concentrating
High blood pressure,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Diabetes,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Heart and artery diseases such as angina and heart attack,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney diseases such as kidney failure,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver diseases such as viral hepatitis and cirrhosis,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internal cancers such as stomach cancer and colon cancer,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Respiratory system diseases such as asthma and chronic obstructive pulmonary disease (COPD),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digestive system diseases such as intestinal ulcers and acute bowel inflammation,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatoid arthritis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systemic lupus erythematosus (SLE),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
